,Not provided in KoNLPy,,Provided in KoNLPy,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sejong project
(ntags=42)",,"Sim Gwangsub project
(ntags=26)",,"Twitter Korean Text
(ntags=19)",,"Komoran
(ntags=42)",,"Mecab-ko
(ntags=43)",,"Kkma
(ntags=10)","Kkma
(ntags=30)","Kkma
(ntags=56)",,"Hannanum
(ntags=9)",,"Hannanum
(ntags=22)",,"Hannanum
(ntags=26)",,Hannanum (ntags=69),,Example
Tag,Description,Tag,Description,Tag,Description,Tag,Description,Tag,Description,Tag,Tag,Tag,Description,Tag,Description,Tag,Description,Tag,Description,Tag,Description,
NNG,일반 명사,NN,명사,Noun,"명사 (Nouns, Pronouns, Company Names, Proper Noun, Person Names, Numerals, Standalone, Dependent)",NNG,일반 명사,NNG,일반 명사,N,NN,NNG,보통명사,N,체언,NC,보통명사,NCP,서술성명사,NCPA,동작성 명사,
,,,,,,,,,,,,,,,,,,,,NCPS,상태성 명사,
,,,,,,,,,,,,,,,,,,NCN,비서술성명사,NCN,비서술성 명사,어린이집
,,,,,,,,,,,,,,,,,,,,NCR,비서술성-직위 명사,
NNP,고유 명사,,,,,NNP,고유 명사,NNP,고유 명사,,,NNP,고유명사,,,NQ,고유명사,NQ,고유명사,NQPA,성,손
,,,,,,,,,,,,,,,,,,,,NQPB,이름,예진
,,,,,,,,,,,,,,,,,,,,NQPC,성+이름,손예진
,,,,,,,,,,,,,,,,,,,,NQQ,기타-일반,대한민국
NNB,의존 명사,NX,의존 명사,,,NNB,의존 명사,NNB,의존 명사,,,NNB,일반 의존 명사,,,NB,의존명사,NB,의존명사,NBN,비단위성 의존명사,때문
,,,,,,,,,,,,,,,,,,,,NBS,비단위성 의존명사 --하다 붙는 것,
,,UM,단위 명사,,,,,NNBC,단위를 나타내는 명사,,,NNM,단위 의존 명사,,,,,,,NBU,단위성 의존명사,퍼센트
NR,수사,NU,수사,,,NR,수사,NR,수사,,NR,NR,수사,,,NN,수사,NN,수사,NNC,양수사,백만
,,,,,,,,,,,,,,,,,,,,NNO,서수사,첫째
NP,대명사,NP,대명사,,,NP,대명사,NP,대명사,,NP,NP,대명사,,,NP,대명사,NP,대명사,NPP,인칭대명사,자기
,,,,,,,,,,,,,,,,,,,,NPD,지시대명사,
VV,동사,VV,동사,Verb,동사,VV,동사,VV,동사,V,VV,VV,동사,P,용언,PV,동사,PV,동사,PVD,지시 동사,
,,,,,,,,,,,,,,,,,,,,PVG,일반 동사,
VA,형용사,VA,형용사,Adjective,형용사,VA,형용사,VA,형용사,,VA,VA,형용사,,,PA,형용사,PA,형용사,PAD,지시 형용사,
,,,,,,,,,,,,,,,,,,,,PAA,성상 형용사,
